CompanyName,Contact,Address1,Address2,City,State,Zip1,Zip2,MailingAddress1,MailingAddress2,MailingCity,MailingState,MailingZip1,MailingZip2,RegistrationDate,County,ExpirationDate,StateCompanyID,CompanyType
"1997, INC.",,612  SPARTA HWY,,EATONTON,GA,31024,,134  PEA RIDGE LN,,EATONTON,GA,31024,,1/1/1900,PUTNAM,12/31/2013,527519,420
A & J DAIRY,JACK BENTLEY,2134  BRADFORD RD,,TIGNALL,GA,30668,,2134  BRADFORD RD,,TIGNALL,GA,30668,,1/1/1900,WILKES,12/31/2027,527506,420
AARON W CHARLTON #122,,2947  JACKSON DAIRY RD,,BACONTON,GA,31716,,PO BOX 3790,,BELLEVIEW,FL,34421,,2/15/2011,MARION,12/31/2027,1382354,475
ABDIEL CARRAL #170,MATTHEW SPARKMAN,1263  ROSSMAN DAIRY RD,,MOULTRIE,GA,31768,,1263  ROSSMAN DAIRY RD,,MOULTRIE,GA,31768,,11/3/2016,COLQUITT,12/31/2027,55560063,475
ABDIJALIL SEPTOW #093,ABDIJALIL SEPTOW ,2121 FAULKNER RD NE ,,ATLANTA,GA,30324,,2121 FAULKNER RD NE ,,ATLANTA,GA,30324,,12/18/2019,FULTON,12/31/2027,55567658,475
ABDIREZAQ GABOW #186,,2121  FAULKNER RD,,ATLANTA,GA,30324,,2121  FAULKNER RD,,ATLANTA,GA,30324,,1/1/1900,FULTON,12/31/2014,1382350,475
ADAM GRAFT #DL001,,1363  C HWY 19  S,,AMERICUS,GA,31709,,2620 S LEE ST,,AMERICUS,GA,31709,,1/4/2016,SUMTER,12/31/2027,50002529,470
"ADDIS, DAVID O.",,1655  TRICKUM RD,,ROCKY FACE,GA,30740,,1655  TRICKUM RD,,ROCKY FACE,GA,30740,,1/1/1900,WHITFIELD,12/31/2027,527496,420
ADRIAN TAYLOR #064,ADRIAN TAYLOR ,1950 SE HWY 484 ,,BELLEVIEW,FL,34421,,PO BOX 3790 ,,BELLEVIEW,FL,34421,,5/7/2019,,12/31/2027,55567620,470
"AGROPUR,INC.",JACK HOLZEM,2080  RICE ST,,SAINT PAUL,MN,55113,,2080  RICE ST,,SAINT PAUL,MN,55113,,10/18/2012,,12/31/2027,1692553,435
ALAN VAUGHAN #193,,19  MLK JR DR SW,,ATLANTA,GA,30334,,19  MLK JR DR SW,,ATLANTA,GA,30334,,1/1/2014,MORGAN,12/31/2014,1381936,470
ALEXANDER CALHOUN #DL084,ALEXANDER CALHOUN ,2923 JACKSON DAIRY RD,,BACONTON,GA,31716,,2923 JACKSON DAIRY RD,,BACONTON,GA,31716,,5/17/2019,MITCHELL,12/31/2027,55567626,470
"ALLISON, HARRY S.",Harry Allison,5152  CLARKE BRIDGE RD,,GAINESVILLE,GA,30506,,5742  DAHLONEGA HWY,,CLERMONT,GA,30327,,1/1/1900,HALL,12/31/2027,527515,420
AMADEO DE PAZ #DL103,AMADEO DE PAZ,500 PROGRESSIVE RD,,MONTEZUMA,GA,31063,,PO BOX 820 ,,MONTEZUMA,GA,31063,,1/16/2020,DOOLY,12/31/2027,55567672,470
AMANDA BELLAMY #200,,19  MLK JR DR SW,,ATLANTA,GA,30334,,19  MLK JR DR SW,,ATLANTA,GA,30334,,6/24/2015,FULTON,12/31/2027,2794936,470
AMERICAN DAIRYCO- GA LLC,WARREN LAWRENCE,2923  JACKSON DAIRY RD,,BACONTON,GA,31716,,2923  JACKSON DAIRY RD,,BACONTON,GA,31716,,1/1/1900,MITCHELL,12/31/2013,1614414,420
ANDRE COEN #DL055,ANDRE COEN ,500 PROGRESSIVE RD,,MONTEZUMA,GA,31063,,500 PROGRESSIVE RD,,MONTEZUMA,GA,31063,,3/13/2018,DOOLY,12/31/2027,55567548,470
ANDRE JORDAN #084,,2121  FAULKNER RD,,ATLANTA,GA,30324,,2121  FAULKNER RD,,ATLANTA,GA,30324,,7/1/2016,,12/31/2027,55556662,475
ANDREW KEGLER #207,ANDREW KEGLER,4019  RED OAK RD,,BAXLEY,GA,31513,,4019  RED OAK RD,,BAXLEY,GA,31513,,3/8/2013,APPLING,12/31/2014,1692668,470
ARON REAVES #187,,384  LOWER HARMONY RD,,EATONTON,GA,31024,,384  LOWER HARMONY RD,,EATONTON,GA,31024,,7/6/2017,PUTNAM,12/31/2027,55564286,470
ASHLEY BAILEY #DL021,ASHLEY BAILEY,1961  MONUMENT CHURCH RD,,QUITMAN,GA,31643,,PO BOX 508,,QUITMAN,GA,31643,,4/6/2016,BROOKS,12/31/2027,50003666,470
ATLANTA FRESH ARTISAN CREAMERY LLC,RON MARKS,6679  PEACHTREE INDUSTRAL BLVD  STE M,,NORCROSS,GA,30092,,6679  PEACHTREE INDUSTRAL BLVD  STE M,,NORCROSS,GA,30092,,1/1/1900,GWINNETT,12/31/2027,529358,430
ATLANTA ICECREAM CATERING COMPANY,JOHN CREASY,5859 NEW PEACHTREE RD STE 112 ,,ATLANTA,GA,30341,,5859 NEW PEACHTREE RD STE 112 ,,ATLANTA,GA,30341,,2/16/2018,DEKALB,12/31/2027,55567530,460
ATLANTA'S BEST ICE CREAM (EDY'S),KEN ONG TONY YEN,5859  NEW PEACHTREE RD  STE 112,,ATLANTA,GA,30341,,5456  PEACHTREE INDUSTRIAL BLVD,,ATLANTA,GA,30341,,1/1/1900,DEKALB,12/31/2027,528133,460
AUTUMN GARLOCK #DL098,AUTUMN GARLOCK,906 US HWY 19 N,,LEESBURG,GA,31763,,906 US HWY 19 N,,LEESBURG,GA,31763,,11/15/2019,LEE,12/31/2027,55567687,470
B & B DAIRY,DANNY BELL,2331  SEVEN ISLANDS RD,,BUCKHEAD,GA,30625,,2331  SEVEN ISLANDS RD,,BUCKHEAD,GA,30625,,1/1/1900,MORGAN,12/31/2027,527674,420
B AND S DAIRY,,310  CHINA BERRY LN,,ABBEVILLE,GA,31001,,310  CHINA BERRY LN,,ABBEVILLE,GA,31001,,1/1/1900,WILCOX,12/31/2013,527679,420
BANNER BUTTER,ANDREW MCBATH,3731  NORTHCREST RD  STE 3,,DORAVILLE,GA,30340,,132  FAIRVIEW AVE,,DECATUR,GA,30030,,4/29/2014,DEKALB,12/31/2027,2041780,440
BARBER MILK,,36  BARBER CT,,BIRMINGHAM,AL,35209,,36  BARBER CT,,BIRMINGHAM,AL,35209,,11/15/2012,,12/31/2012,1692457,435
BARRINGTON DAIRY LLC,PETE GELBER,500  PROGRESSIVE RD,,MONTEZUMA,GA,31063,,PO BOX 820,,MONTEZUMA,GA,31063,,10/9/2013,MACON,12/31/2027,1692728,420
BARRY JOHNSON #DL080,BARRY JOHNSON ,3066 THOMPSON DAIRY RD ,,QUITMAN,GA,31643,,PO BOX 508 ,,QUITMAN,GA,31643,,3/29/2019,BROOKS,12/31/2027,55567622,470
BARTLETT'S DAIRY,BILLY BARTLETT,420  CAVENDER LN,,BOWDON,GA,30108,,420  CAVENDER LN,,BOWDON,GA,30108,,1/1/1900,CARROLL,12/31/2027,527559,420
BEL BRANDS,,1500 E NORTH AVE,,LITTLE CHUTE,WI,54140,,30 S WACKER DR,,CHICAGO,IL,60606,,2/15/2013,,12/31/2027,1692619,445
"BEL USA, INC.",,602 W MAIN ST,,LEITCHFIELD,KY,42754,,30 S WACKER DR,,CHICAGO,IL,60606,,2/15/2013,,12/31/2027,1692620,445
"BELL, TONY",TONY BELL,1321  LACEY RD,,GREENSBORO,GA,30642,,1321  LACEY RD,,GREENSBORO,GA,30642,,1/1/1900,GREENE,12/31/2013,527589,420
BEN & JERRY'S HOMEMADE INC,,RT 100 N,,WATERBURY,VT,5676,,521  SOUTH BOSTON,,TULSA,OK,74103,,11/27/2012,,12/31/2027,55558240,445
BEN WILSON #DL079,BEN WILSON ,157 BETHEL CHURCH RD ,,EATONTON,GA,31024,,157 BETHEL CHURCH RD ,,EATONTON,GA,31024,,1/17/2019,PUTNAM,12/31/2027,55567611,470
BENJAMIN MARSHALL #163,,445  HURRICANE TRL,,DACULA,GA,30019,,445  HURRICANE TRL,,DACULA,GA,30019,,5/13/2013,,12/31/2027,1973305,475
"BENKOWSKI, JOHN JR.",John Benkoski,4540  BOSTWICK RD,,MADISON,GA,30650,,4540  BOSTWICK RD,,MADISON,GA,30650,,1/1/1900,MORGAN,12/31/2013,527716,420
BERRY COLLEGE DAIRY,Ben Wilson,2277  Martha Berry Hwy.,,MT. BERRY,GA,30149,,PO BOX 37,,MT. BERRY,GA,30149,,1/1/1900,FLOYD,12/31/2027,527743,420
BIG HILL,GARY YODER,1337  TOM ADAMS RD,,MONTEZUMA,GA,31063,,1337  TOM ADAMS RD,,MONTEZUMA,GA,31063,,1/1/1900,MACON,12/31/2013,527746,420
BIG OAK FARM,PAUL YODER,780  LOOP RD,,MONTEZUMA,GA,31063,,780  LOOP RD,,MONTEZUMA,GA,31063,,1/1/1900,MACON,12/31/2013,527642,420
BILLY CONLEY #109,,60  HAROLD G CLARKE PKWY,,FORSYTH,GA,31029,,PO BOX 907,,FORSYTH,GA,31029,,7/16/2014,MONROE,12/31/2027,1381931,470
BILLY KELLY #DL002,,1363  C HWY 19  S,,AMERICUS,GA,31709,,2620 S LEE ST,,AMERICUS,GA,31709,,1/4/2016,,12/31/2027,50002530,470
BLAKE TILLER #040,BLAKE TILLER,4019  RED OAK RD,,BAXLEY,GA,31513,,4019  RED OAK RD,,BAXLEY,GA,31513,,5/5/2014,APPLING,12/31/2027,1381911,470
BLUE BELL CREAMERIER,,423 N NORTON AVE,,SYLACAUGA,AL,35150,,423 N NORTON AVE,,SYLACAUGA,AL,35150,,2/15/2013,,12/31/2027,1692621,435
BLUE BELL CREAMERIES,PAUL KRUSE,7480  SOUTHLAKE PKWY,,JONESBORO,GA,30236,,7480  SOUTHLAKE PKWY,,JONESBORO,GA,30236,,1/1/1900,CLAYTON,12/31/2027,528159,460
BLUE BELL CREAMERIES,,202  PLANTATION OAK DR,,THOMASVILLE,GA,31792,,202  PLANTATION OAK DR,,THOMASVILLE,GA,31792,,1/1/1900,THOMAS,12/31/2027,528155,460
BLUE BELL CREAMERIES - SAVANNAH TRANSFER STATION,,160  ORACAL PKWY,,BLACK CREEK,GA,31308,,1101 S BLUE BELL RD  PO BOX 1807,,BRENHAM,TX,77834,,1/1/1900,BRYAN,12/31/2027,1381962,460
BLUE BELL CREAMERIES LP,,106  PAT JOINER BLVD,,BYRON,GA,31008,,106  PAT JOINER BLVD,,BYRON,GA,31008,,1/1/1900,PEACH,12/31/2027,527982,460
"BLUE BELL CREAMERIES, L.P.",ED KRUSE,6918  OAK RIDGE COMMERCE WAY,,AUSTELL,GA,30168,,6918  OAK RIDGE COMMERCE WAY,,AUSTELL,GA,30168,,1/1/1900,COBB,12/31/2027,528157,460
"BLUE BELL CREAMERIES, L.P.",,1655  CEDARS RD,,DACULA,GA,30019,,1655  CEDARS RD,,DACULA,GA,30019,,1/1/1900,GWINNETT,12/31/2027,528156,460
"BLUE BELL CREAMERIES, L.P.",,1101 S BLUE BELL RD,,BRENHAM,TX,77834,,PO BOX 1807,,BRENHAM,TX,77834,,11/30/2012,,12/31/2027,1692565,445
BLUE MOON CREAMERY,DAVID MOOSE,3135  BRISCOE RD,,LOGANVILLE,GA,30052,,3135  BRISCOE RD,,LOGANVILLE,GA,30052,,3/26/2013,GWINNETT,12/31/2027,1692632,440
BOB ROUNTREE #440,,4109  SID NEWTON RD,,MILLEN,GA,30442,,PO BOX 868,,MILLEN,GA,30442,,1/1/1900,JENKINS,12/31/2027,1382322,470
BOBBY MARKS #DL019,,157  BETHEL CHURCH RD,,EATONTON,GA,31024,,157  BETHEL CHURCH RD,,EATONTON,GA,31024,,3/29/2016,PUTNAM,12/31/2027,50003517,470
BOOTLEG FARM LLC,RICHARD & WENDY COWART,477  EGYPT-ARDMORE RD,,SPRINGFIELD,GA,31329,,477  EGYPT-ARDMORE RD,,SPRINGFIELD,GA,31329,,5/15/2015,CHATHAM,12/31/2030,1692591,421
BOOTLEG FARM LLC (PLANT),RICHARD & WENDY COWART,477  EGYPT-ARDMORE RD,,SPRINGFIELD,GA,31329,,477  EGYPT-ARDMORE RD,,SPRINGFIELD,GA,31329,,1/9/2013,CHATHAM,12/31/2030,1692592,440
BORDEN,,3211  SHAWNEE INDUSTRIAL WAY   STE 112,,SUWANEE,GA,30024,,3211  SHAWNEE INDUSTRIAL WAY   STE 112,,SUWANEE,GA,30024,,4/16/2014,GWINNETT,12/31/2027,1973187,460
BORDEN DAIRY,,1620 SE LIBERTY EXPRESSWAY,,ALBANY,GA,31705,,1620 SE LIBERTY EXPRESSWAY,,ALBANY,GA,31705,,8/30/2017,DOUGHERTY,12/31/2027,55565200,460
"BORDEN DAIRY COMPANY OF ALABAMA, LLC",VANCE BROWN,5014  HWY 84 EAST,,COWARTS,AL,36321,,5014  HWY 84 EAST,,COWARTS,AL,36321,,11/15/2012,,12/31/2027,1692470,435
BRAND C DAIRY,BRANDON CARTER,385  DENHAM RD,,EATONTON,GA,31024,,137  Rockville RD,,EATONTON,GA,31024,,1/1/1900,PUTNAM,12/31/2027,528516,420
BRANDON BOZEMAN #DL104,BRANDON BOZEMAN ,500 PROGRESSIVE RD ,,MONTEZUMA,GA,31063,,PO BOX 820 ,,MONTEZUMA,GA,31063,,1/16/2020,DOOLY,12/31/2027,55567673,470
"BRENNEMAN #2, MARK",MARK BRENNEMAN,898  PEEDS POND RD,,MONTEZUMA,GA,31063,,898  Peeds Pond RD,,MONTEZUMA,GA,31063,,1/1/1900,MACON,12/31/2027,527646,420
BRENNEMAN FARM,RAYMOND BRENNEMAN,1451  FIELDS CROSSING RD,,MONTEZUMA,GA,31063,,1451  FIELDS CROSSING,,MONTEZUMA,GA,31063,,1/1/1900,MACON,12/31/2027,527644,420
BRIAN MCKEVER #066,BRIAN MCKEVER ,2947 JACKSON DAIRY RD ,,BACONTON,GA,31716,,PO BOX 3790 ,,BELLEVIEW,FL,34421,,5/17/2019,MITCHELL,12/31/2027,55567623,475
BRIARPATCH DAIRY INC.,JERRY AND JANA SWAFFORD,177  HIPP RD,,EATONTON,GA,31024,,165  BETHEL CHURCH RD,,EATONTON,GA,31024,,3/28/2016,PUTNAM,12/31/2027,50003456,420
"BROOKSCO DAIRY, INC LLC",CALVIN MOODY,1960  MONUMENT CHURCH RD,,QUITMAN,GA,31643,,PO BOX 509,,QUITMAN,GA,31643,,1/19/2011,BROOKS,12/31/2027,527637,420
"BRYANS DAIRY, LLC",Warren Bryans,2641 BROUGHTON RD,,NEWBORN,GA,30056,,2641 BROUGHTON RD,,NEWBORN,GA,30056,,1/1/1900,MORGAN,12/31/2027,527590,420
BUDDHA BELLY FARMS,,160  JERSEY DR,,QUITMAN,GA,31643,,160  JERSEY DR,,QUITMAN,GA,31643,,1/23/2013,BROOKS,12/31/2027,1692601,420
"BULGER CREEK FARM, LLC",,6251  TALLAPOOSA ST,,NOTASULGA,AL,36866,,6251  TALLAPOOSA ST,,NOTASULGA,AL,36866,,11/15/2012,,12/31/2027,1692469,435
BUSCIGLIO FARMS,JEFF BUSCIGLIO,795  ALEXANDER RD,,GAY,GA,30218,,1824  WINN ARTHUR DR,,VALRICO,FL,33594,,3/28/2017,MERIWETHER,12/31/2027,55560842,420
"BUSH HOLLOW FARMS, LLC.",LAVON & CRISTIAN YODER,3458  JAMES RD,,MONTEZUMA,GA,31063,,3826  JAMES RD,,MONTEZUMA,GA,31063,,1/7/2016,MACON,12/31/2027,50002572,420
"BUTCHER, BUD",BUD BUTCHER,1011  ROCKHOUSE RD,,SENOIA,GA,30276,,1011  ROCKHOUSE RD,,SENOIA,GA,30276,,1/1/1900,COWETA,12/31/2013,527609,420
BUTTER AND CREAM,STACY WISNIEWSKI,618  VALLEY BROOKE RD,,SCOTTDALE,GA,30079,,416  CHURCH ST,,DECATUR,GA,30030,,6/30/2017,DEKALB,12/31/2027,55564102,440
BUTTS DAIRY,ATHEL BUTTS,679  OAK GROVE ROAD,,PINE MOUNTAIN,GA,31822,,679  OAK GROVE ROAD,,PINE MOUNTAIN,GA,31822,,1/1/1900,TROUP,12/31/2013,1319444,420
CABANISS DAIRY LLC,Jim/ Jon Cabaniss,414  SUNSET DR,,MAXEYS,GA,30671,,PO BOX 710071,,MAXEYS,GA,30671,,1/1/1900,OGLETHORPE,12/31/2027,527721,420
CADILLAC PRODUCTS PACKAGING,,271  CADILLAC PKWY,,DALLAS,GA,30157,,271  CADILLAC PKWY,,DALLAS,GA,30157,,1/1/1900,PAULDING,12/31/2012,527965,450
CALY ROAD CREAMERY,ROBIN SCHICK,227  HILDERBRAND DR,,ATLANTA,GA,30328,,227  HILDERBRAND DR,,ATLANTA,GA,30328,,1/1/1900,FULTON,12/31/2027,641404,440
"CARGILL, INC",DAVID MACLENNAN,3582  MCCALL PL NE,,ATLANTA,GA,30340,,PO BOX 5606,,MINNEAPOLIS,MN,55440,,5/19/2006,DEKALB,12/31/2027,39750,430
CARRIE T. NEWTON #185,JOHN NEWTON,4109  SID NEWTON RD,,MILLEN,GA,30442,,PO BOX 868,,MILLEN,GA,30442,,3/2/2012,JENKINS,12/31/2027,1662430,470
"CASEY, GREG J.",GREG CASEY,782  FULLWOOD SPRINGS RD,,CEDARTOWN,GA,30125,,782  FULLWOOD SPRINGS RD,,CEDARTOWN,GA,30125,,1/1/1900,POLK,12/31/2027,527491,420
CENTENNIAL FARMS DAIRY,,2121  FAULKNER RD NE,,ATLANTA,GA,30324,,2121  FAULKNER RD NE,,ATLANTA,GA,30324,,11/4/2008,FULTON,12/31/2027,527683,430
CENTENNIAL FARMS DAIRY (Single Service Plant),,2121 NE FAULKNER RD,,ATLANTA,GA,30324,,2121  FAULKNER RD,,ATLANTA,GA,30324,,1/1/1900,FULTON,12/31/2027,527684,450
CE-TRAY FARMS,CEPHUS YODER,4212  FIELDS CROSSING RD,,MONTEZUMA,GA,31063,,4212  FIELDS CROSSING RD,,MONTEZUMA,GA,31063,,1/1/1900,MACON,12/31/2027,1382298,420
CFL FARMS,,795  ALEXANDER RD,,GAY,GA,30218,,PO BOX 158,,HARALSON,GA,30229,,1/1/1900,MERIWETHER,12/31/2027,1692436,420
